ID,Chance of Admit
13,0.6926000000000002
16,0.7548000000000005
23,0.8486000000000001
25,0.5570999999999999
29,0.6907999999999999
35,0.6163999999999998
37,0.9335
38,0.939599999999999
57,0.6462999999999995
62,0.48330000000000006
65,0.6026999999999998
81,0.7482999999999999
82,0.6036
88,0.9023000000000009
92,0.9072999999999992
99,0.8108000000000003
102,0.7872000000000006
108,0.5227000000000003
110,0.7035000000000001
116,0.9095999999999996
120,0.7993999999999992
125,0.7127000000000003
132,0.7652999999999999
137,0.6150000000000001
143,0.5795999999999999
147,0.7379999999999999
149,0.7730999999999998
157,0.9323999999999997
165,0.6607000000000001
166,0.6611999999999995
168,0.7277999999999998
172,0.6904999999999996
196,0.5834000000000001
198,0.7938000000000003
201,0.6827000000000001
209,0.6832
212,0.9022999999999999
217,0.9002
218,0.7617999999999999
229,0.9229000000000002
231,0.7855000000000003
235,0.6899999999999998
236,0.8976000000000005
243,0.687
244,0.5442999999999999
246,0.47170000000000023
258,0.8092000000000001
265,0.7581
271,0.7730000000000001
274,0.8117000000000003
279,0.7537000000000004
281,0.5539
283,0.6969999999999995
288,0.684
301,0.7910999999999992
302,0.6591
306,0.7725
308,0.5663000000000001
310,0.8661000000000009
311,0.7973999999999993
313,0.8623999999999999
320,0.5787000000000001
328,0.5797999999999998
331,0.8263000000000008
332,0.8085000000000001
345,0.8959
358,0.7024999999999999
362,0.7155999999999999
364,0.4963000000000004
366,0.7009999999999998
377,0.5720000000000001
380,0.7727999999999998
384,0.5856999999999999
388,0.6538
389,0.7285999999999996
391,0.8373000000000005
393,0.5959999999999998
395,0.9581999999999986
398,0.6170000000000002
401,0.6398000000000001
408,0.8729
411,0.6178000000000003
412,0.6968000000000001
415,0.7551000000000002
424,0.8014999999999994
426,0.5999
432,0.6003
433,0.514
441,0.6836000000000003
445,0.6723
450,0.6478
451,0.9367999999999992
459,0.7121000000000001
461,0.5920999999999997
465,0.6078000000000001
467,0.6304999999999998
484,0.9298000000000008
485,0.6714999999999995
489,0.8916999999999998
499,0.6170999999999996
